unitid,year,scugffn,npgrn2,agrnt_a,loan_a,agrnt_p
133553,2017,1255,35358,15100,11795,95
133650,2017,1293,,10291,6227,88
133669,2017,3048,,8635,6576,71
133702,2017,1570,,4803,1670,54
133711,2017,600,23473,8182,8064,93
133809,2017,179,21414,7673,5765,85
133845,2017,469,27870,3722,6374,73
133854,2017,672,26953,3357,5574,77
133863,2017,662,23899,3657,6089,79
133872,2017,78,18866,6818,5614,92
133881,2017,759,33610,23760,8214,96
133942,2017,0,,,,
133951,2017,4159,,6471,6126,84
133960,2017,133,,3932,4972,61
133979,2017,360,16280,10479,7284,87
133997,2017,415,30757,4088,7522,90
134024,2017,71,16873,3538,6057,70
134079,2017,642,24888,21189,6733,100
134097,2017,6123,,6628,7732,89
134112,2017,1128,20109,3332,6592,87
134130,2017,6801,,6636,6118,91
134228,2017,22,10335,3000,2182,91
134237,2017,3601,25254,7541,13431,77
134291,2017,581,,3562,,32
134307,2017,210,,4282,,88
134343,2017,586,,4545,4008,67
134422,2017,5,19684,1983,1946,60
134495,2017,3338,,5011,5364,63
134510,2017,27,9814,4931,3984,93
134529,2017,72,23325,3825,6067,99
134574,2017,52,20570,4181,4060,50
134608,2017,1509,,5127,3741,65
134680,2017,0,,,,
134714,2017,52,17781,2540,4573,85
134811,2017,183,21435,5599,7612,95
134945,2017,545,25674,24731,8387,94
135081,2017,4470,26730,6831,12144,86
135142,2017,74,10659,5925,7537,76
135160,2017,330,,4020,4270,71
135179,2017,415,,2995,,44
135188,2017,542,,3885,4277,62
135267,2017,746,,3957,,18
135276,2017,478,,3733,,80
135294,2017,581,,2011,,93
135337,2017,22,21125,3327,7162,68
135364,2017,3,18019,3717,,67
135391,2017,1170,,5421,3768,64
135407,2017,1102,,2541,,86
135522,2017,328,,5762,,60
135559,2017,12,24356,3502,5666,67
135610,2017,0,,,,
135647,2017,499,,2358,,80
135717,2017,7605,,5174,5750,81
135726,2017,2042,42204,20647,6977,73
135735,2017,574,,2605,,58
135771,2017,371,23094,3545,5642,53
136109,2017,67,16526,4565,8710,82
136145,2017,157,,4977,,75
136172,2017,1861,,7267,6488,68
136215,2017,647,26740,19075,7764,100
136233,2017,522,,4508,2912,60
136303,2017,471,,2960,,36
136330,2017,501,24052,19122,6692,100
136358,2017,2172,,5951,4053,64
136400,2017,1466,,4721,4698,61
136473,2017,981,,4715,2311,65
136491,2017,414,,3623,4000,72
136516,2017,825,,4378,4250,63
136659,2017,122,,5127,,54
136765,2017,461,,3058,,52
136774,2017,355,49828,14123,9837,98
136783,2017,19,17113,4311,8373,58
136826,2017,160,,4139,,74
136950,2017,538,35522,30057,7517,90
137023,2017,335,,3352,,67
137032,2017,610,20552,15892,7432,99
137078,2017,1790,,4981,5466,64
137087,2017,406,,3221,6333,94
137096,2017,1918,,4755,4847,57
137120,2017,762,,3572,,23
137148,2017,1,15645,10817,9500,100
137209,2017,1952,,4860,4348,60
137245,2017,1704,,3873,,39
137272,2017,9,32254,4646,,22
137281,2017,644,,4821,5159,60
137315,2017,325,,4455,5499,72
137351,2017,4021,,7937,8898,79
137476,2017,196,24836,18336,6587,100
137546,2017,812,27287,30974,8997,100
137564,2017,1051,22928,12332,6339,96
137591,2017,340,20501,3411,5881,97
137713,2017,185,,2396,,91
137759,2017,1993,,4746,4027,55
137777,2017,11,18285,8365,,91
137801,2017,35,19522,6614,9079,100
137847,2017,1906,29880,12304,8312,92
137856,2017,58,,4049,,74
137865,2017,178,,5031,,77
137953,2017,93,15481,5135,6817,92
137962,2017,26,17498,6956,5929,81
138132,2017,34,17320,3931,4693,50
138187,2017,5250,,4792,4492,67
138275,2017,178,17768,14981,6975,100
138284,2017,360,,2785,,84
138293,2017,178,24614,15291,6753,98
138309,2017,245,16926,5430,6969,80
138354,2017,1282,,5222,6530,88
138372,2017,198,,4603,,72
138479,2017,919,,5369,,23
138488,2017,1505,,2106,,21
138497,2017,234,,3255,,70
138558,2017,919,,5432,4896,84
138600,2017,272,22121,29066,7285,100
138655,2017,113,13048,4923,6345,95
138664,2017,14,12845,4621,7953,79
138682,2017,339,,6857,2927,92
138716,2017,791,,6110,5617,79
138761,2017,152,29092,4183,11227,89
138789,2017,934,,6960,5744,84
138813,2017,328,24419,6791,7914,94
138822,2017,322,10528,4441,7339,61
138840,2017,400,,6097,6472,92
138868,2017,312,18348,11934,5793,92
138901,2017,165,,6664,3937,85
138938,2017,37,21520,5262,7280,70
138947,2017,987,26809,10952,7831,87
138956,2017,416,,4863,3052,78
139010,2017,174,,5420,3679,98
139144,2017,534,26173,21883,7700,100
139153,2017,1,19542,3168,4700,100
139199,2017,152,21021,20389,6951,97
139205,2017,153,17676,12900,5959,97
139214,2017,4,30458,5882,3134,75
139250,2017,733,,5531,5152,80
139278,2017,495,,4908,3779,82
139287,2017,6,11105,11408,9500,100
139311,2017,490,,7256,6158,86
139357,2017,195,,5489,2247,84
139366,2017,977,,7711,5886,86
139384,2017,337,,5782,3699,93
